,OtherExecScore,Analyst_Word_Count,Analyst_Sent_Count,CEO_Neg_Fin,CEO_Fin_Score2,Openness_Raw,Concientiousness_Raw,Extraversion_Raw,Agreeableness_Raw,Neuroticism_Raw,marketcap,pricetobook,dividendyield,revenuegrowth,freecashflow,ebitda,CEOScore_sqrt,CEO_Word_Count_sqrt,CEO_Sent_Count_sqrt,OtherExec_Sent_Count_sqrt,CEO_Pos_Fin_sqrt,AnalystScore_pwr,OtherExec_Word_Count_pwr
862,1.2389999999999999,912.0,48.0,8.0,1.25,1.818365525,1.649860617,1.579353204,1.656722307,1.531463022,2.129248,156480987419.2,5538024001.0,206.7535,30214910632.0,31242630001.0,0.3255764119219941,53.1224999411737,12.165525060596439,3.6457513110645907,2.0,1.0196146169282787,13.239058594807817
863,1.105,1818.0,81.0,16.0,1.846153846,1.820438803,1.656600456,1.5900403760000001,1.685618012,1.523239017,2.118481,156499608400.3,5532360001.0,206.7928,30220753632.0,31380439001.0,0.37549966711037175,73.81734213584231,14.89966442575134,4.0,4.3166247903554,1.0315762973145084,25.2380469703513
864,1.178,1.0,1.0,11.0,2.166666667,1.818713286,1.658074026,1.603597342,1.704723435,1.526722091,2.1131450000000003,156516930757.8,5753584001.0,206.74,30224374632.0,31291774001.0,0.4230839160261236,80.54812226240907,17.291616465790582,4.60555127546399,4.741657386773941,1.0,23.324614066188097
865,1.126,1892.0,88.0,12.0,1.842105263,1.822153329,1.641371317,1.565182028,1.676292561,1.518275035,2.091766,156532358803.8,5690843001.0,206.7388,30228223632.0,31422027001.0,0.37549966711037175,66.12110101926616,14.317821063276353,6.0,3.8284271247461903,1.0220302776654193,32.72899176585522
866,1.178,2057.0,102.0,14.0,1.555555556,1.819014685,1.648008505,1.581563023,1.670090868,1.521498431,2.0853099999999998,156547368917.8,5718869001.0,206.707,30231035632.0,31571345001.0,0.3781534080237808,74.43789357578571,16.61324772583615,4.464101615137754,3.23606797749979,1.0393021814441625,20.311183033225593
867,1.195,1662.0,88.0,8.0,2.0,1.816582997,1.635281327,1.577558012,1.663442861,1.514611109,2.071194,156561559575.5,5900276001.0,206.6977,30233470632.0,31583336001.0,0.40987803063838396,69.67783004657937,15.165750888103101,5.123105625617661,3.6457513110645907,1.0279776808764929,23.096808349699696
868,1.256,1162.0,56.0,6.0,2.230769231,1.823934109,1.652394363,1.587944279,1.674643864,1.527261648,2.075948,156581398917.8,6078795001.0,206.6746,30237560632.0,31501584001.0,0.39749213828703583,59.04235767650204,12.884098726725126,4.741657386773941,3.8284271247461903,1.0160553782888984,19.032378352576224
869,1.145,2232.0,120.0,3.0,1.6666666669999999,1.8088348559999998,1.655029706,1.557096727,1.6994197180000001,1.509462286,2.26183,154597500001.0,33562506001.0,206.1915,33948903632.0,33039000001.0,0.41231056256176607,39.28103868280471,8.94427190999916,14.784048752090222,2.0,1.0268182129128265,141.91752913994614
870,1.1280000000000001,3156.0,149.0,2.0,1.0,1.837291231,1.6826838409999998,1.5766706460000002,1.740642813,1.527128561,2.268077,155971402299.9,35639506001.0,206.178,33893903632.0,34824000001.0,0.38600518131237566,19.72308292331602,4.69041575982343,18.233687939614086,1.0,1.0307611457541275,186.9690067341033
871,1.12,3091.0,141.0,2.0,1.0,1.81454395,1.6589165929999998,1.517298522,1.73167603,1.521329056,2.103062,155267227827.1,35362506001.0,206.1592,33935903632.0,33554000001.0,0.3987480407475377,48.569537778323564,9.643650760992955,17.97056274847714,1.0,1.0253038339285376,179.48337348104562
