CEO,Ticker,Sector,Quarter,Year,Date,CEOScore,AnalystScore,OtherExecScore,CEO_Word_Count,Analyst_Word_Count,OtherExec_Word_Count,CEO_Sent_Count,Analyst_Sent_Count,OtherExec_Sent_Count,CEO_Pos_Fin,CEO_Neg_Fin,CEO_Fin_Score1,CEO_Fin_Score2,Openness_Raw,Concientiousness_Raw,Extraversion_Raw,Agreeableness_Raw,Neuroticism_Raw,Openness_Percentile,Concientiousness_Percentile,Extraversion_Percentile,Agreeableness_Percentile,Neuroticism_Percentile
Bradley D. Tilden,ALK,Industrials,Q1,2013,4/25/2013 20:10,0.111,0.075,0.121,1820,3084,3469,90,132,178,3,3,1,0,0.797766805,0.630136629,0.534504312,0.697563325,0.496229451,0.938020171,0.517833433,0.355765477,0.130768224,0.695682731
Bradley D. Tilden,ALK,Industrials,Q2,2013,7/26/2013 3:50,0.147,0.127,0.11,1818,2748,3886,81,121,184,2,3,0.666666667,-0.2,0.811176582,0.67663036,0.569871282,0.719719112,0.527921319,0.974907293,0.851192687,0.663765427,0.285882957,0.858637454
Bradley D. Tilden,ALK,Industrials,Q3,2013,10/24/2013 16:20,0.082,0.129,0.13,1440,2117,3399,74,88,169,4,0,inf,1,0.808590577,0.658067321,0.583594105,0.711609964,0.515935538,0.969767141,0.740070507,0.767392226,0.220818157,0.805545445
Frank Hermance,AME,Industrials,Q4,2011,1/26/2012 12:55,0.159,0.109,0.066,5865,1958,315,319,113,16,7,5,1.4,0.166666667,0.818222702,0.639896543,0.606680205,0.696302248,0.511678426,0.985336999,0.600241967,0.893918137,0.124149956,0.784089351
Frank S. Hermance,AME,Industrials,Q1,2012,4/26/2012 13:50,0.164,0.145,0.153,4510,1744,521,230,88,35,3,7,0.428571429,-0.4,0.817487006,0.646076373,0.575950595,0.691579806,0.507296292,0.984459459,0.650426317,0.71191816,0.101459607,0.760633698
Frank S. Hermance,AME,Industrials,Q2,2012,7/24/2012 11:21,0.106,0.099,0.239,2822,911,65,148,47,7,1,7,0.142857143,-0.75,0.818365525,0.649860617,0.579353204,0.656722307,0.531463022,0.985502324,0.679967352,0.737366824,0.015773804,0.872240344
Frank Hermance,AME,Industrials,Q3,2012,10/23/2012 13:08,0.141,0.131,0.105,5449,1817,203,222,80,9,11,15,0.733333333,-0.153846154,0.820438803,0.656600456,0.590040376,0.685618012,0.523239017,0.987727462,0.729768356,0.809143557,0.077332778,0.839195443
Frank Hermance,AME,Industrials,Q4,2012,1/24/2013 13:07,0.179,0,0.178,6488,0,177,299,0,13,14,10,1.4,0.166666667,0.818713286,0.658074026,0.603597342,0.704723435,0.526722091,0.985898182,0.740117124,0.880711661,0.17292764,0.853816716
Frank S. Hermance,AME,Industrials,Q1,2013,4/25/2013 12:03,0.141,0.106,0.126,4372,1891,318,205,87,25,8,11,0.727272727,-0.157894737,0.822153329,0.641371317,0.565182028,0.676292561,0.518275035,0.98933777,0.612405161,0.624635025,0.048676979,0.816763221
Frank S. Hermance,AME,Industrials,Q2,2013,8/7/2013 13:01,0.143,0.149,0.178,5541,2056,139,276,101,12,5,13,0.384615385,-0.444444444,0.819014685,0.648008505,0.581563023,0.670090868,0.521498431,0.986233695,0.665637103,0.753255415,0.034852817,0.831542764
Frank S. Hermance,AME,Industrials,Q3,2013,10/29/2013 12:30,0.168,0.122,0.195,4855,1661,174,230,87,17,7,7,1,0,0.816582997,0.635281327,0.577558012,0.663442861,0.514611109,0.983319766,0.561597711,0.724084558,0.023793111,0.799013526
Frank S. Hermance,AME,Industrials,Q4,2013,1/29/2014 11:40,0.158,0.088,0.256,3486,1161,124,166,55,14,8,5,1.6,0.230769231,0.823934109,0.652394363,0.587944279,0.674643864,0.527261648,0.990812336,0.699141203,0.796100107,0.044632172,0.855999163
James T. Hackett,APC,Energy,Q4,2011,2/7/2012 14:30,0.17,0.119,0.145,1543,2231,3816,80,119,190,1,2,0.5,-0.333333333,0.808834856,0.655029706,0.557096727,0.699419718,0.509462286,0.970287342,0.718514766,0.554282248,0.140947827,0.772397555
James T. Hackett,APC,Energy,Q1,2012,5/1/2012 10:00,0.149,0.129,0.128,389,3155,6059,22,148,297,0,1,0,-1,0.837291231,0.682683841,0.576670646,0.740642813,0.527128561,0.997251215,0.879271262,0.717399404,0.484393121,0.855462893
R. A. Walker,APC,Energy,Q2,2012,7/31/2012 17:00,0.159,0.115,0.12,2359,3090,5658,93,140,288,0,1,0,-1,0.81454395,0.658916593,0.517298522,0.73167603,0.521329056,0.980484111,0.745941178,0.225011412,0.395626378,0.830785785
R. A. Walker,APC,Energy,Q3,2012,10/30/2012 15:40,0.14,0.126,0.142,2824,1814,4150,118,77,188,4,2,2,0.333333333,0.804501494,0.64560542,0.551439512,0.75295394,0.505816768,0.959880884,0.646680656,0.50387432,0.60663055,0.752411077
Al Walker,APC,Energy,Q4,2012,2/5/2013 14:52,0.157,0.18,0.144,4011,2844,4203,150,160,179,1,10,0.1,-0.818181818,0.805551175,0.683629448,0.544774241,0.729136643,0.513275384,0.962640319,0.883296004,0.444466308,0.371243837,0.79229434
R. A. Walker,APC,Energy,Q1,2013,5/1/2013 10:00,0.155,0.153,0.15,2486,1800,3820,112,102,172,7,1,7,0.75,0.805377607,0.659539049,0.528015672,0.720646265,0.511172958,0.962195042,0.750199367,0.30320346,0.293864224,0.781453697
R. A. Walker,APC,Energy,Q2,2013,7/30/2013 15:30,0.127,0.146,0.138,1220,2815,6109,60,132,330,1,0,inf,1,0.808755964,0.658397997,0.540352882,0.716181897,0.497955493,0.970120156,0.74236462,0.405655077,0.25641773,0.706312003
Al Walker,APC,Energy,Q3,2013,11/5/2013 12:24,0.147,0.14,0.155,3826,3613,2012,125,117,71,8,1,8,0.777777778,0.812905312,0.672551443,0.555250972,0.710499478,0.516085653,0.977917787,0.829985669,0.537892318,0.21261909,0.806277555
